BENEFÍCIOS,RAIZ RJ,PJ RAIZ,RAIZ SUL,RAIZ MG,PRO RAIZ,QI,SAP,SA PEREIRA,METROPOLITANO,CUBO GLOBAL,MATRIZ,IPE | GLOBAL TREE,BOM TEMPO,CLV,UNIFICADO,APOGEU,INTEGRA,SARAH DAWSEY,UNIÃO
VT,6%,NÃO POSSUI DIREITO,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
PLANO DE SAÚDE,SULAMÉRICA / AMIL SAÚDE,SULAMÉRICA / AMIL SAÚDE,UNIMED,UNIMED JF,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,UNIMED / SINDICATO,UNIMED / SINDICATO,UNIMED JF,UNIMED JF,-,UNIMED / SINDICATO
ADM,"SULAMÉRICA: DIRETO - R$ 191,67 | CLÁSSICO - R$363,77 | ESPECIAL RC - R$447,99","SULAMÉRICA: DIRETO - R$ 191,67 | CLÁSSICO - R$363,77 | ESPECIAL RC - R$447,99",UNIMED,UNIMED JF,"SULAMÉRICA: DIRETO - R$ 191,67 | CLÁSSICO - R$363,77 | ESPECIAL RC - R$447,99","SULAMÉRICA: DIRETO - R$ 191,67 | CLÁSSICO - R$363,77 | ESPECIAL RC - R$447,99","SULAMÉRICA: DIRETO - R$ 191,67 | CLÁSSICO - R$363,77 | ESPECIAL RC - R$447,99","SULAMÉRICA: DIRETO - R$ 191,67 | CLÁSSICO - R$363,77 | ESPECIAL RC - R$447,99","SULAMÉRICA: DIRETO - R$ 191,67 | CLÁSSICO - R$363,77 | ESPECIAL RC - R$447,99","SULAMÉRICA: DIRETO - R$ 191,67 | CLÁSSICO - R$363,77 | ESPECIAL RC - R$447,99","SULAMÉRICA: DIRETO - R$ 191,67 | CLÁSSICO - R$363,77 | ESPECIAL RC - R$447,99","SULAMÉRICA: DIRETO - R$ 191,67 | CLÁSSICO - R$363,77 | ESPECIAL RC - R$447,99",AMIL SAÚDE - AMIL FÁCIL S75 | AMIL S450 (O VALOR DO PLANO É POR IDADE EM CADA CATEGORIA),UNIMED / SINDICATO,UNIMED / SINDICATO,UNIMED JF,UNIMED JF,-,UNIMED / SINDICATO
LIDERANÇA,"SULAMÉRICA: DIRETO - R$ 191,67 | CLÁSSICO - R$363,77 | ESPECIAL RC - R$447,99","SULAMÉRICA: DIRETO - R$ 191,67 | CLÁSSICO - R$363,77 | ESPECIAL RC - R$447,99",UNIMED,UNIMED JF,"SULAMÉRICA: DIRETO - R$ 191,67 | CLÁSSICO - R$363,77 | ESPECIAL RC - R$447,99","SULAMÉRICA: DIRETO - R$ 191,67 | CLÁSSICO - R$363,77 | ESPECIAL RC - R$447,99","SULAMÉRICA: DIRETO - R$ 191,67 | CLÁSSICO - R$363,77 | ESPECIAL RC - R$447,99","SULAMÉRICA: DIRETO - R$ 191,67 | CLÁSSICO - R$363,77 | ESPECIAL RC - R$447,99","SULAMÉRICA: DIRETO - R$ 191,67 | CLÁSSICO - R$363,77 | ESPECIAL RC - R$447,99","SULAMÉRICA: DIRETO - R$ 191,67 | CLÁSSICO - R$363,77 | ESPECIAL RC - R$447,99","SULAMÉRICA: DIRETO - R$ 191,67 | CLÁSSICO - R$363,77 | ESPECIAL RC - R$447,99","SULAMÉRICA: DIRETO - R$ 191,67 | CLÁSSICO - R$363,77 | ESPECIAL RC - R$447,99",AMIL SAÚDE - AMIL FÁCIL S75 | AMIL S450 (O VALOR DO PLANO É POR IDADE EM CADA CATEGORIA),UNIMED / SINDICATO,UNIMED / SINDICATO,UNIMED JF,UNIMED JF,-,UNIMED / SINDICATO
PROFESSORES,,,-,-,"SULAMÉRICA: DIRETO - R$383,33 | CLÁSSICO - R$555,43| ESPECIAL RC - R$639,65","SULAMÉRICA: DIRETO - R$383,33 | CLÁSSICO - R$555,43| ESPECIAL RC - R$639,65","SULAMÉRICA: DIRETO - R$383,33 | CLÁSSICO - R$555,43| ESPECIAL RC - R$639,65

PROFESSOR COM + DE 25 TENMPOS ENTRA NA REGRA DO ADM","SULAMÉRICA: DIRETO - R$383,33 | CLÁSSICO - R$555,43| ESPECIAL RC - R$639,65","SULAMÉRICA: DIRETO - R$383,33 | CLÁSSICO - R$555,43| ESPECIAL RC - R$639,65","SULAMÉRICA: DIRETO - R$383,33 | CLÁSSICO - R$555,43| ESPECIAL RC - R$639,65","SULAMÉRICA: DIRETO - R$383,33 | CLÁSSICO - R$555,43| ESPECIAL RC - R$639,65","SULAMÉRICA: DIRETO - R$383,33 | CLÁSSICO - R$555,43| ESPECIAL RC - R$639,65",AMIL SAÚDE - AMIL FÁCIL S75 | AMIL S450 (O VALOR DO PLANO É POR IDADE EM CADA CATEGORIA),UNIMED / SINDICATO,UNIMED / SINDICATO,UNIMED JF,UNIMED JF,-,UNIMED / SINDICATO
CESTA DE NATALIDADE,ELEGIVEL,,-,-,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,-,-,-,-,-,
PLANO DENTAL,"AMIL 200 - R$18,65 | 300 - R$42,54  | 400 - R$38,81  | 500 - R$46,92  | 600 - R$50,32 | 700 - R$58,96","AMIL 200 - R$18,65 | 300 - R$42,54  | 400 - R$38,81  | 500 - R$46,92  | 600 - R$50,32 | 700 - R$58,96",UNIMED / SINDICATO,UNIMED JF,"AMIL 200 - R$18,65 | 300 - R$42,54  | 400 - R$38,81  | 500 - R$46,92  | 600 - R$50,32 | 700 - R$58,96","AMIL 200 - R$18,65 | 300 - R$42,54  | 400 - R$38,81  | 500 - R$46,92  | 600 - R$50,32 | 700 - R$58,96","AMIL 200 - R$18,65 | 300 - R$42,54  | 400 - R$38,81  | 500 - R$46,92  | 600 - R$50,32 | 700 - R$58,96","AMIL 200 - R$18,65 | 300 - R$42,54  | 400 - R$38,81  | 500 - R$46,92  | 600 - R$50,32 | 700 - R$58,96","AMIL 200 - R$18,65 | 300 - R$42,54  | 400 - R$38,81  | 500 - R$46,92  | 600 - R$50,32 | 700 - R$58,96","AMIL 200 - R$18,65 | 300 - R$42,54  | 400 - R$38,81  | 500 - R$46,92  | 600 - R$50,32 | 700 - R$58,96","AMIL 200 - R$18,65 | 300 - R$42,54  | 400 - R$38,81  | 500 - R$46,92  | 600 - R$50,32 | 700 - R$58,96","AMIL 200 - R$18,65 | 300 - R$42,54  | 400 - R$38,81  | 500 - R$46,92  | 600 - R$50,32 | 700 - R$58,96","AMIL 200 - R$18,65 | 300 - R$42,54  | 400 - R$38,81  | 500 - R$46,92  | 600 - R$50,32 | 700 - R$58,96",UNIMED / SINDICATO,UNIMED / SINDICATO,UNIMED JF,UNIMED JF,-,UNIMED / SINDICATO
CESTA BÁSICA,ASG / PCD,,-,-,ASG / PCD,ASG / PCD,-,-,ASG / PCD,-,ASG / PCD,ASG / PCD  / AUXILIAR DE TURMA / INSPETOR (A) DE ALUNOS,-,-,-,-,-,-,-
PLUXEE,R$400 por mês  (ADM/ESTG/JA),R$400 por mês ,R$400 por mês  (ADM/ESTG/JA),R$400 por mês  (ADM/ESTG/JA),R$400 por mês  (ADM/ESTG/JA),-,"R$21,00 - POR DIA (ADM) (não JA/ESTG/AUX DE TURMA)","R$21,00 - POR DIA (ADM) (não JA/ ESTG)",-,"R$25,00 - POR DIA (ADM) (não JA/ ESTG)",-,-,-,"R$ 100,00 - Administrativo (Todas as unidades)","R$ 100,00 - Administrativo (Todas as unidades)",-,-,-,-
SEGURO DE VIDA,,,APENAS ADMINIST. DA CLV,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
